id;customer_id;product;amount;created_at
1;even aw fast;more;17853.88;2025-12-24T21:45:06
2;belowXXX;flood voluminous;5770.96;2025-12-24T23:47:55
3;whoop likely foolishly;simple bah whose;1039.44;2025-12-24T20:17:26
4;defiantly readdress;underneath;27434.73;2025-12-24T17:08:40
5;hunker solidly original;initiative;17664.82;2025-12-24T11:10:39
6;shinyXXX;inside before;24079.76;2025-12-25T00:26:43
7;sometimes because;consequently;583.57;2025-12-24T19:36:47
8;throughX;quintessential slim anenst;24618.68;2025-12-24T19:36:22
9;mehXXXXX;besides;17924.26;2025-12-24T16:01:17
10;twin seldom anenst;soon ah although;753.64;2025-12-25T07:38:08
